id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated
aave,aave,Aave,309.74,4707209008,37,4958395992,950156398,316.87,293.39,14.89,5.04961,231742697,5.17807,15189457.287492836,16000000.0,16000000.0,661.69,-52.92222,2021-05-18T21:19:59.514Z,26.02,1097.04583,2020-11-05T09:20:11.928Z,2025-07-11T13:53:10.748Z
1inch,1inch,1inch,0.28827,403062495,200,433547512,234018338,0.298605,0.214698,0.072544,33.62806,102284813,34.00678,1394527072.927356,1499999999.997,1499999999.997,8.65,-96.67746,2021-10-27T08:24:54.808Z,0.149574,92.1822,2025-04-07T07:05:53.693Z,2025-07-11T13:53:10.409Z
0x,zrx,0x Protocol,0.255614,216243159,292,254884530,25333811,0.257667,0.23334,0.02071891,8.82049,16910038,8.48331,848396562.906836,1000000000.0,1000000000.0,2.5,-89.79133,2018-01-13T00:00:00.000Z,0.120667,111.2468,2020-03-13T02:27:49.563Z,2025-07-11T13:53:10.375Z
aave-usdc-sonic,asonusdc,Aave USDC (Sonic),1.006,129169676,399,129169676,518583,1.008,1.005,0.00034564,0.03437,-15562088.82389751,-10.75237,128407170.559318,128407170.559318,,1.019,-1.28374,2025-05-21T19:26:14.888Z,0.795129,26.51259,2025-06-22T13:17:34.579Z,2025-07-11T13:53:10.292Z
0x0-ai-ai-smart-contract,0x0,0x0.ai: AI Smart Contract,0.098012,86986773,534,86986773,1498464,0.098771,0.084016,0.01070826,12.26552,9481858,12.23388,891250000.0,891250000.0,1000000000.0,0.500356,-80.6199,2024-03-12T00:45:01.748Z,0.0002781,34768.67785,2023-02-01T14:29:44.928Z,2025-07-11T13:53:10.277Z
aavegotchi,ghst,Aavegotchi,0.458144,23418579,1122,24146701,9090293,0.460246,0.404851,0.04636169,11.25877,2368555,11.25203,51157239.2140685,52747802.71425598,52747802.71425598,3.63,-87.39375,2024-04-01T17:10:35.267Z,0.311585,46.91047,2025-06-22T20:24:58.598Z,2025-07-11T13:53:10.356Z
404-gen,sn17,404—GEN,10.53,13252286,1447,13252286,250201,10.65,9.44,0.957216,10.00127,1205324,10.00521,1258746.724422158,1258746.724422158,21000000.0,15.38,-31.54424,2025-06-10T05:25:08.303Z,8.13,29.43829,2025-06-22T20:21:49.109Z,2025-07-11T13:53:10.283Z
0xgasless-2,0xgas,0xGasless,1.16,12729105,1490,12729105,71311,1.27,1.083,-0.06970666856039309,-5.67352,-786243.417013539,-5.81741,11000000.0,11000000.0,11000000.0,1.39,-17.87202,2025-07-09T13:10:33.408Z,0.03713505,2971.67108,2024-09-18T16:06:08.792Z,2025-07-11T13:53:10.272Z
360noscope420blazeit,mlg,360noscope420blazeit,0.0109187,10891633,1575,10891633,787388,0.01098071,0.00889002,0.00198869,22.26973,1878178,20.8375,997521259.665384,997521259.665384,997790257.58,0.187194,-94.17694,2025-02-04T00:51:00.239Z,0.00117467,827.9617,2024-10-27T14:34:43.171Z,2025-07-11T13:53:10.276Z
1guy,1guy,1GUY,0.00703722,7037312,1876,7037312,65.53,0.00704686,0.00680881,0.00019601,2.86516,191042,2.79046,1000000000.0,1000000000.0,1000000000.0,0.01223159,-42.46813,2024-10-07T15:20:22.002Z,0.00537563,30.90681,2025-03-11T00:57:28.232Z,2025-07-11T13:53:10.265Z
42-coin,42,42-coin,92443,3882590,2360,3882594,60.56,93263,92128,198.0,0.21465,222743,6.08613,41.99995074,42.0,,805023,-88.52197,2020-12-24T15:28:21.542Z,1071.62,8522.52604,2021-04-27T03:54:41.837Z,2025-07-11T13:48:00.224Z
-6,"""　""","""　""",0.00608567,3831061,2374,3831061,90809,0.00607702,0.00443278,0.00143915,30.97256,905974,30.97256,629521110.0,629521110.999334,1000000000.0,0.276695,-97.79489,2024-12-07T19:50:35.826Z,0.00310237,96.66955,2025-06-21T23:51:19.355Z,2025-07-11T13:52:50.776Z
_,gib,༼ つ ◕_◕ ༽つ,0.00267031,2618403,2747,2618403,13842.73,0.00286386,0.00248818,0.0001498,5.94334,165706,6.75606,980000000.0,980000000.0,980000000.0,0.00384584,-30.52644,2025-05-22T19:59:46.915Z,0.00036907,623.9443,2025-04-07T06:59:47.999Z,2025-07-11T13:52:30.279Z
4chan,4chan,4Chan,2.6976e-14,2108400,2977,2108400,23046,2.7706e-14,2.3463e-14,3.14e-15,13.17367,269655,14.66514,7.709007008328327e+19,7.709007008328327e+19,1e+20,1.885e-12,-98.54953,2023-07-21T14:39:33.961Z,4.357e-15,527.56533,2023-05-18T16:50:43.525Z,2025-07-11T13:52:00.242Z
4everland,4ever,4EVERLAND,0.0012759,2105506,2978,12792948,249014,0.0012899,0.00126584,7.5e-06,0.59123,14891.18,0.71229,1645833333.31,10000000000.0,10000000000.0,0.00671057,-80.98662,2024-12-17T04:40:36.773Z,0.00099851,27.78139,2025-06-14T19:00:17.205Z,2025-07-11T13:52:11.417Z
1000x-by-virtuals,1000x,1000x by Virtuals,0.00186316,1889325,3090,1889325,10519.51,0.00192351,0.00151019,0.00033209,21.69022,358495,23.41835,992369486.5234118,992369486.5234118,1000000000.0,0.01398289,-86.38441,2025-01-15T15:46:21.367Z,0.00119641,59.13055,2025-04-11T16:34:56.950Z,2025-07-11T13:52:59.946Z
99-bitcoins,99btc,99 Bitcoins,2.383e-05,1571171,3294,1571171,3404.6,2.549e-05,1.849e-05,5.33e-06,28.80388,350354,28.69838,66000000000.0,66000000000.0,99000000000.0,0.00058402,-95.91994,2024-08-10T06:00:24.712Z,2.66e-06,797.37975,2025-04-10T06:51:11.498Z,2025-07-11T13:52:35.818Z
-5,🟥🟩,🟥🟪🟦🟩🟨🟧,0.00154081,1540217,3314,1540217,77497,0.00156507,0.00134921,0.00014621,10.48405,146154,10.48403,999614698.494569,999614698.494569,1000000000.0,0.02573354,-94.0049,2024-11-19T21:15:29.030Z,0.00053626,187.68839,2025-02-26T18:59:34.848Z,2025-07-11T13:52:52.202Z
401k,401k,401K,0.00133391,1321252,3488,1321252,294178,0.00196249,0.00094616,-0.000366702083705587,-21.56301,-373042.11393732135,-22.01756,981377522.8618662,981377522.8618662,993259271.85,0.00474828,-71.64608,2025-07-06T04:50:02.133Z,0.00030707,338.442,2025-07-02T03:09:41.013Z,2025-07-11T13:52:56.534Z
888-token,888,888,0.01299205,1147744,3648,1147744,21694,0.01326695,0.01161772,0.00123122,10.4688,106309,10.20789,88854176.84348784,88854176.84348784,88888888.0,0.24719,-94.74044,2024-11-30T21:35:36.163Z,0.00531972,144.39477,2024-11-07T03:05:03.399Z,2025-07-11T13:52:50.746Z
666-token,666,666,0.111007,1107204,3694,1107204,47089,0.111175,0.097832,0.01317446,13.46634,121767,12.35659,9998632.0,9998632.0,9998632.0,0.158861,-30.29416,2025-05-12T13:43:30.608Z,0.083702,32.29786,2025-06-20T22:24:40.473Z,2025-07-11T13:52:04.324Z
589-token,589,589,0.00020896,1097821,3707,1223031,34443,0.00020766,0.00015308,5.526e-05,35.95475,277687,33.85882,5287000000.0,5890000000.0,5890000000.0,0.00049429,-57.99146,2025-01-30T15:54:32.329Z,0.00010109,105.40134,2025-06-22T17:02:33.342Z,2025-07-11T13:51:55.827Z
aaa-cat,aaa,aaa cat,0.00010564,1053422,3745,1053422,10068.3,0.00010704,9.327e-05,1.22e-05,13.05296,118651,12.69307,10000000000.0,10000000000.0,10000000000.0,0.00367516,-97.12874,2024-11-13T16:25:33.951Z,4.709e-05,124.10958,2025-05-23T07:15:52.519Z,2025-07-11T13:52:30.960Z
5ire,5ire,5ire,0.00147954,950687,3872,2224443,867152,0.00151806,0.00141639,3.907e-05,2.71198,27660,2.99665,641073198.7697375,1500000000.0,1500000000.0,0.467009,-99.68267,2023-12-18T17:15:04.299Z,0.00089596,65.40165,2025-04-07T07:11:30.572Z,2025-07-11T13:52:46.465Z
0xsim-by-virtuals,sage,0xsim by Virtuals,0.00078353,783594,4110,783594,14.68,0.00079479,0.00069848,8.426e-05,12.04994,79537,11.29697,1000000000.0,1000000000.0,1000000000.0,0.00919017,-91.47357,2025-01-02T15:10:43.776Z,0.00042127,86.00774,2025-04-09T01:30:53.577Z,2025-07-11T13:53:02.011Z
0xmonk,monk,0xMonk by Virtuals,0.00078153,781525,4114,781525,619.04,0.00080215,0.00067894,9.939e-05,14.56965,99385,14.56965,1000000000.0,1000000000.0,1000000000.0,0.01200774,-93.49149,2025-01-16T20:15:55.780Z,0.0002053,280.67256,2025-04-07T06:56:38.835Z,2025-07-11T13:41:38.608Z
5g-cash,vgc,5G-CASH,0.053344,748703,4172,755213,34.94,,,,,,,14157318.87378388,14157326.37378388,100000000.0,0.419704,-87.29002,2021-04-17T04:16:29.296Z,9.28513e-10,5745136676.86243,2021-02-22T03:15:26.748Z,2025-06-26T20:31:22.382Z
-7,∅,∅,0.00077265,738179,4187,738179,21471,0.00089515,0.00076461,-4.1507148858433e-05,-5.09818,-43115.875415074755,-5.51852,959637148.38272,959637148.38272,1000000000.0,0.00151994,-49.39085,2025-07-07T12:50:00.253Z,5.64e-05,1263.95331,2025-06-05T20:59:20.829Z,2025-07-11T13:52:16.628Z
3space-art,pace,3SPACE ART,0.01110766,733190,4195,1110483,73314,0.01139739,0.00951024,0.00129436,13.18983,85278,13.16193,66024441.662959024,100000000.0,100000000.0,0.298335,-96.27817,2024-07-30T22:55:49.304Z,0.00550205,101.80669,2024-02-14T06:14:59.543Z,2025-07-11T13:52:00.709Z
3dpass,p3d,3DPass,0.00150376,638357,4372,1081793,9806.19,0.00150846,0.00137248,9.522e-05,6.76035,41471,6.94794,424542866.0,719452854.0,1000000000.0,0.04851979,-96.9005,2023-12-17T01:30:03.607Z,0.00116953,28.58756,2025-06-22T17:26:12.122Z,2025-07-11T13:51:37.412Z
1-squirrel,peanut,OG Peanut,0.00063739,637316,4386,637316,251847,0.00065414,0.00056112,7.145e-05,12.62592,71343,12.60534,999886370.794511,999886370.794511,999954482.37,0.02235476,-97.19106,2024-11-25T19:14:23.577Z,0.0001677,274.44209,2025-04-07T09:41:23.145Z,2025-07-11T13:52:51.706Z
21million,21m,21Million,0.03136389,543587,4580,569933,4231.13,0.03170088,0.03013243,0.00106517,3.51557,17876.9,3.40052,17331354.72476963,18171354.72476963,21000000.0,0.085285,-63.22538,2025-01-02T14:51:36.107Z,0.01591473,97.0716,2025-06-13T14:14:55.546Z,2025-07-11T13:51:54.641Z
aag-ventures,aag,AAG,0.00086173,543036,4582,861728,2.75,,,,,,,630171159.1992941,1000000000.0,1000000000.0,0.444983,-99.80635,2021-12-18T15:41:28.184Z,0.00020779,314.71276,2025-03-10T09:32:40.745Z,2025-07-09T19:42:06.838Z
